ind,X,Y,Z,Vol,Zone,Phase,In
i1,18.46746809,-16.59189055,105.7,5.886780488,A,c,0
i2,18.46746809,-25.59189055,105.7,5.886780488,A,c,0
i3,7.914968085,-25.59189055,105.7,5.886780488,A,c,0
i4,7.914968085,-17.39189055,105.7,5.886780488,A,c,0
i5,-8.607531915,-25.66689055,105.7,8.67999776,A,c,0
i6,0.317468085,-25.66689055,105.55,10.8244678,A,c,0
i7,0.317468085,-16.59189055,105.7,12.01383773,A,c,0
i8,-8.607531915,-21.29804055,105.7,6.001452569,A,c,0
i9,-8.238681915,-16.59189055,105.7,19.73071712,A,c,0
i10,18.46746809,-16.59189055,110,4.238481951,A,c,0
i11,18.46746809,-25.59189055,110,4.238481951,A,c,0
i12,7.914968085,-25.59189055,110,4.238481951,A,c,0
i13,-8.352531915,-16.59189055,110,6.054974216,A,c,0
i14,0.307468085,-16.59189055,110,8.649963166,A,c,0
i15,7.914968085,-17.39189055,110,4.238481951,A,c,0
i16,-8.607531915,-25.66689055,110,6.249598387,A,c,0
i17,0.317468085,-25.67189055,110,7.352468691,A,c,0
i18,-8.607531915,-21.44189055,110,2.205740607,A,c,0
i19,-8.382531915,-16.74189055,113.6,13.83994107,A,c,0
i20,0.317468085,-25.59189055,113.6,6.054974216,A,c,0
i21,0.317468085,-16.59189055,113.6,8.649963166,A,c,0
i22,7.916497343,-17.39189055,113.6,4.238481951,A,c,0
i23,7.916497343,-25.59189055,113.6,4.238481951,A,c,0
i24,-8.606932725,-21.44189055,113.6,2.205740607,A,c,0
i25,18.46899734,-16.59189055,113.6,4.238481951,A,c,0
i26,-8.532531915,-25.44124308,113.6,11.24495212,A,c,0
i27,-8.380531915,-16.73986129,117.2,13.83994107,A,c,0
i28,0.317468085,-25.59189055,117.2,6.054974216,A,c,0
i29,0.319468085,-16.59389055,117.2,8.649963166,A,c,0
i30,7.916968085,-17.39341981,117.2,4.238481951,A,c,0
i31,7.916968085,-25.59189055,117.2,4.238481951,A,c,0
i32,-8.531531915,-25.44292054,117.2,11.24495212,A,c,0
i33,-8.530231915,-16.59158607,120.8,19.46241712,A,c,0
i34,-8.530531915,-25.59189055,120.8,14.61843775,A,c,0
i35,0.467468085,-25.59189055,120.8,4.238481951,A,c,0
i36,0.319468085,-16.59189055,120.8,6.054974216,A,c,0
i37,7.916718085,-17.39189055,120.8,14.61843775,A,c,0
i38,7.917468085,-25.59036129,120.8,14.61843775,A,c,0
i39,7.914668085,-25.59189055,124.4,4.238481951,A,c,0
i40,7.914668085,-17.39189055,124.4,4.238481951,A,c,0
i41,-8.532831915,-25.59189055,124.4,4.238481951,A,c,0
i42,-8.532831915,-16.59189055,124.4,4.238481951,A,c,0
i43,0.467168085,-25.59189055,124.4,4.238481951,A,c,0
i44,0.316235634,-16.59189055,124.4,6.054974216,A,c,0
i45,7.914343085,-25.58970305,128,4.238481951,A,c,0
i46,7.914343085,-17.38970305,128,4.238481951,A,c,0
i47,-8.531906915,-25.59220305,128,4.238481951,A,c,0
i48,-8.533156915,-16.59470305,128,4.238481951,A,c,0
i49,0.466843085,-25.58970305,128,4.238481951,A,c,0
i50,0.315910634,-16.59470305,128,6.054974216,A,c,0
i51,7.914801759,-25.58699507,131.65,4.356217561,A,c,0
i52,7.914801759,-17.38949507,131.65,4.356217561,A,c,0
i53,-8.531448241,-25.58949507,131.65,4.356217561,A,c,0
i54,-8.532698241,-16.59199507,131.65,4.356217561,A,c,0
i55,0.467301759,-25.59199507,131.65,4.356217561,A,c,0
i56,0.316369309,-16.59199507,131.65,6.223167944,A,c,0
i57,-8.534999861,-16.59311532,135.6,4.94489561,A,c,0
i58,-8.533299861,-25.59189055,135.6,4.94489561,A,c,0
i59,0.464700139,-25.59341981,135.6,4.94489561,A,c,0
i60,0.468200139,-16.59189055,135.6,4.94489561,A,c,0
i61,7.914200139,-17.39189055,135.6,4.94489561,A,c,0
i62,7.914200139,-25.59189055,135.6,4.94489561,A,c,0
i63,-8.534231915,-16.59311532,140.075,5.592441464,A,c,0
i64,-8.532531915,-25.59189055,140.075,5.592441464,A,c,0
i65,0.465468085,-25.59341981,140.075,5.592441464,A,c,0
i66,0.471468085,-16.59189055,140.075,5.592441464,A,c,0
i67,7.914999335,-17.39189055,140.075,5.592940789,A,c,0
i68,7.914968085,-25.59189055,140.075,5.592441464,A,c,0
i69,-8.532531915,-16.59189055,145.15,6.357722927,A,c,0
i70,0.492530585,-16.61695305,145.15,6.357722927,A,c,0
i71,-8.532531915,-25.59189055,145.15,6.357722927,A,c,0
i72,0.467530585,-25.59195305,145.15,6.357722927,A,c,0
i73,7.913030585,-25.59195305,145.15,6.357722927,A,c,0
i74,7.915030585,-17.39195305,145.15,6.357722927,A,c,0
i75,-8.532531915,-12.09189055,103.575,11.35307666,A,c,0
i76,-8.532531915,-19.02439055,103.575,6.136968659,A,c,0
i77,-8.532531915,-23.5350982,103.575,5.154820697,A,c,0
i78,-4.032531915,-25.59189055,103.575,11.35307666,A,c,0
i79,4.191218085,-25.59189055,103.575,9.394670932,A,c,0
i80,0.467468085,-21.0850982,103.425,15.87134887,A,c,0
i81,-4.032531915,-22.99189055,103.575,6.487472375,A,c,0
i82,-4.032531915,-21.49189055,103.575,6.487472375,A,c,0
i83,-6.032531915,-19.04189055,103.575,3.532068293,A,c,0
i84,-6.032531915,-13.95689055,103.575,3.79877549,A,c,0
i85,-4.032531915,-11.32189055,103.575,6.487472375,A,c,0
i86,-4.032531915,-16.59189055,103.575,11.35307666,A,c,0
i87,-0.432531915,-13.95689055,103.575,3.79877549,A,c,0
i88,0.467468085,-12.09189055,103.425,15.89430732,A,c,0
i89,2.178718085,-11.32189055,103.575,2.467401993,A,c,0
i90,9.467468085,-9.419390549,103.575,4.610610575,A,c,0
i91,18.46746809,-12.09189055,103.575,11.35307666,A,c,0
i92,18.46746809,-21.20439055,103.575,11.63690357,A,c,0
i93,7.914968085,-21.49189055,103.575,10.91156812,A,c,0
i94,4.191218085,-21.49189055,103.575,5.368743805,A,c,0
i95,4.019968085,-23.54189055,103.575,2.955404082,A,c,0
i96,4.019968085,-19.36689055,103.575,3.063528621,A,c,0
i97,4.019968085,-15.99439055,103.575,1.798471508,A,c,0
i98,2.243718085,-19.14189055,103.575,1.920562134,A,c,0
i99,4.191218085,-17.24189055,103.575,5.36838339,A,c,0
i100,9.902468085,-17.16689055,103.575,1.475449446,A,c,0
i101,11.53996809,-15.05939055,103.575,0.957352694,A,c,0
i102,12.76496809,-16.96689055,103.575,0.90103783,A,c,0
