ind,X,Y,Z,Phase
j1,55.33,27.39,104,abc
j2,55.33,18.39,104,abc
j3,55.33,9.39,104,abc
j4,55.33,0.39,104,abc
j5,55.33,-8.61,104,abc
j6,55.33,-17.61,104,abc
j7,46.33,-17.61,104,abc
j8,37.33,-17.61,104,abc
j9,28.33,-17.61,104,abc
j10,19.33,-17.61,104,abc
j11,10.33,-17.61,104,abc
j12,1.33,-17.61,104,abc
j13,1.33,-26.61,104,abc
j14,1.33,-35.61,104,abc
j15,1.33,-44.61,104,abc
j16,1.33,-53.61,104,abc
j17,-7.67,-53.61,104,abc
j18,-16.67,-53.61,104,abc
j19,-25.67,-53.61,104,abc
j20,-34.67,-53.61,104,abc
j21,-34.67,-44.61,104,abc
j22,-34.67,-35.61,104,abc
j23,-34.67,-26.61,104,abc
j24,-34.67,-17.61,104,abc
j25,-34.67,-8.61,104,abc
j26,-34.67,0.39,104,abc
j27,-34.67,9.39,104,abc
j28,-34.67,18.39,104,abc
j29,-34.67,27.39,104,abc
